time_hours,stage
3.5,N2
3.508333,N2
3.516667,N2
3.525,N2
3.533333,N2
3.541667,N2
3.55,N2
3.558333,N2
3.566667,N2
3.575,N2
3.583333,N2
3.591667,N2
3.6,N2
3.608333,N2
3.616667,N3
3.625,N3
3.633333,N3
3.641667,N3
3.65,N3
3.658333,N3
3.666667,N3
3.675,N3
3.683333,N3
3.691667,N3
3.7,N3
3.708333,N3
3.716667,N3
3.725,N3
3.733333,N3
3.741667,N3
3.75,N3
3.758333,N3
3.766667,N3
3.775,N3
3.783333,N3
3.791667,N3
3.8,N3
3.808333,N3
3.816667,N3
3.825,N3
3.833333,N3
3.841667,N3
3.85,N3
3.858333,N3
3.866667,N3
3.875,N3
3.883333,N2
3.891667,N2
3.9,N2
3.908333,N2
3.916667,N2
3.925,N2
3.933333,N2
3.941667,N2
3.95,N2
3.958333,N2
3.966667,N2
3.975,N2
3.983333,N2
3.991667,N2
4.0,N2
4.008333,N2
4.016667,N2
4.025,N2
4.033333,N2
4.041667,N2
4.05,N2
4.058333,N2
4.066667,N2
4.075,N2
4.083333,N2
4.091667,N2
4.1,N2
4.108333,N2
4.116667,N2
4.125,N2
4.133333,N2
4.141667,N2
4.15,N2
4.158333,N2
4.166667,N2
4.175,N2
4.183333,N2
4.191667,N2
4.2,N2
4.208333,N2
4.216667,N2
4.225,N2
4.233333,N2
4.241667,N2
4.25,N2
4.258333,N2
4.266667,N2
4.275,N2
4.283333,N2
4.291667,N2
4.3,N2
4.308333,N2
4.316667,N2
4.325,N2
4.333333,N2
4.341667,N2
4.35,N2
4.358333,N2
4.366667,N2
4.375,N2
4.383333,N2
4.391667,N2
4.4,N2
4.408333,N2
4.416667,N2
4.425,N2
4.433333,N2
4.441667,N2
4.45,REM
4.458333,REM
4.466667,REM
4.475,REM
4.483333,REM
4.491667,REM
4.5,REM
4.508333,REM
4.516667,REM
4.525,REM
4.533333,REM
4.541667,REM
4.55,REM
4.558333,REM
4.566667,REM
4.575,REM
4.583333,REM
4.591667,REM
4.6,REM
4.608333,REM
4.616667,REM
4.625,REM
4.633333,REM
4.641667,REM
4.65,REM
4.658333,REM
4.666667,REM
4.675,REM
4.683333,REM
4.691667,REM
4.7,REM
4.708333,REM
4.716667,REM
4.725,REM
4.733333,REM
4.741667,REM
4.75,REM
4.758333,REM
4.766667,REM
4.775,REM
4.783333,REM
4.791667,REM
4.8,REM
4.808333,REM
4.816667,REM
4.825,REM
4.833333,REM
4.841667,REM
4.85,REM
4.858333,REM
4.866667,REM
4.875,REM
4.883333,REM
4.891667,REM
4.9,N1
4.908333,N1
4.916667,N1
4.925,N1
4.933333,N1
4.941667,N1
4.95,N2
4.958333,N2
4.966667,N2
4.975,N2
4.983333,N2
4.991667,N2
5.0,N2
5.008333,N2
5.016667,N2
5.025,N2
5.033333,N2
5.041667,N2
5.05,N2
5.058333,N2
5.066667,N2
5.075,N2
5.083333,N2
5.091667,N2
5.1,N2
5.108333,N2
5.116667,N2
5.125,N2
5.133333,N2
5.141667,N2
5.15,N2
5.158333,N2
5.166667,N2
5.175,N2
5.183333,N2
5.191667,N2
5.2,N2
5.208333,N2
5.216667,N2
5.225,N2
5.233333,N2
5.241667,N2
5.25,N2
5.258333,N2
5.266667,N2
5.275,N2
5.283333,N2
5.291667,N2
5.3,N2
5.308333,N2
5.316667,N2
5.325,N2
5.333333,N2
5.341667,N2
5.35,N2
5.358333,N2
5.366667,N2
5.375,N2
5.383333,N2
5.391667,N2
5.4,N2
5.408333,N2
5.416667,N2
5.425,N2
5.433333,N2
5.441667,N2
5.45,N2
5.458333,N2
5.466667,N2
5.475,N2
5.483333,N2
5.491667,N2
5.5,N2
5.508333,N2
5.516667,N2
5.525,N2
5.533333,N3
5.541667,N3
5.55,N3
5.558333,N3
5.566667,N3
5.575,N3
5.583333,N3
5.591667,N3
5.6,N3
5.608333,N3
5.616667,N3
5.625,N3
5.633333,N3
5.641667,N3
5.65,N3
5.658333,N3
5.666667,N3
5.675,N3
5.683333,N2
5.691667,N2
5.7,N2
5.708333,N2
5.716667,N2
5.725,N2
5.733333,N2
5.741667,N2
5.75,N2
5.758333,N2
5.766667,N2
5.775,N2
5.783333,N2
5.791667,N2
5.8,N2
5.808333,N2
5.816667,N2
5.825,N2
5.833333,N2
5.841667,N2
5.85,N2
5.858333,N2
5.866667,N2
5.875,N2
5.883333,N2
5.891667,N2
5.9,N2
5.908333,N2
5.916667,N2
5.925,N2
5.933333,N2
5.941667,N2
5.95,N2
5.958333,N2
5.966667,N2
5.975,N2
5.983333,N2
5.991667,N2
6.0,N2
6.008333,N2
6.016667,REM
6.025,REM
6.033333,REM
6.041667,REM
6.05,REM
6.058333,REM
6.066667,REM
6.075,REM
6.083333,REM
6.091667,REM
6.1,REM
6.108333,REM
6.116667,REM
6.125,REM
6.133333,REM
6.141667,REM
6.15,REM
6.158333,REM
6.166667,REM
6.175,REM
6.183333,REM
6.191667,REM
6.2,REM
6.208333,REM
6.216667,REM
6.225,REM
6.233333,REM
6.241667,REM
6.25,REM
6.258333,REM
6.266667,REM
6.275,REM
6.283333,REM
6.291667,REM
6.3,REM
6.308333,REM
6.316667,REM
6.325,REM
6.333333,REM
6.341667,REM
6.35,REM
6.358333,REM
6.366667,N1
6.375,N1
6.383333,N1
6.391667,N1
6.4,N2
6.408333,N2
6.416667,N2
6.425,N2
6.433333,N2
6.441667,N2
6.45,N2
6.458333,N2
6.466667,N2
6.475,N2
6.483333,N2
6.491667,N2
6.5,N2
6.508333,N2
6.516667,N2
6.525,N2
6.533333,N2
6.541667,N2
6.55,N2
6.558333,N2
6.566667,N2
6.575,N2
6.583333,N2
6.591667,N2
6.6,N2
6.608333,N2
6.616667,N2
6.625,N2
6.633333,N2
6.641667,N2
6.65,N2
6.658333,N2
6.666667,N2
6.675,N2
6.683333,N2
6.691667,N2
6.7,N2
6.708333,N2
6.716667,N2
6.725,N2
6.733333,N2
6.741667,N2
6.75,N2
6.758333,N2
6.766667,N2
6.775,N2
6.783333,N2
6.791667,N2
6.8,N2
6.808333,N2
6.816667,N2
6.825,N2
6.833333,N2
6.841667,N2
6.85,N2
6.858333,N2
6.866667,N2
6.875,N2
6.883333,N3
6.891667,N3
6.9,N3
6.908333,N3
6.916667,N3
6.925,N3
6.933333,N2
6.941667,N2
6.95,N2
6.958333,N2
6.966667,N2
6.975,N2
6.983333,N2
6.991667,N2
7.0,N2
7.008333,N2
7.016667,N2
7.025,N2
7.033333,N2
7.041667,N2
7.05,N2
7.058333,N2
7.066667,N2
7.075,N2
7.083333,N2
7.091667,N2
7.1,N2
7.108333,N2
7.116667,N2
7.125,N2
7.133333,N2
7.141667,N2
7.15,N2
7.158333,N2
7.166667,N2
7.175,N2
7.183333,N2
7.191667,N2
7.2,N2
7.208333,N2
7.216667,N2
7.225,N2
7.233333,N2
7.241667,N2
7.25,N2
7.258333,N2
7.266667,REM
7.275,REM
7.283333,REM
7.291667,REM
7.3,REM
7.308333,REM
7.316667,REM
7.325,REM
7.333333,REM
7.341667,REM
7.35,REM
7.358333,REM
7.366667,REM
7.375,REM
7.383333,REM
7.391667,REM
7.4,REM
7.408333,REM
7.416667,REM
7.425,REM
7.433333,REM
7.441667,REM
7.45,REM
7.458333,REM
7.466667,REM
7.475,REM
7.483333,REM
7.491667,REM
7.5,REM
7.508333,REM
7.516667,REM
7.525,REM
7.533333,REM
7.541667,REM
7.55,REM
7.558333,REM
7.566667,REM
7.575,REM
7.583333,REM
7.591667,REM
7.6,REM
7.608333,REM
7.616667,REM
7.625,REM
7.633333,REM
7.641667,REM
7.65,REM
7.658333,REM
7.666667,REM
7.675,REM
7.683333,REM
7.691667,REM
7.7,REM
7.708333,REM
7.716667,REM
7.725,REM
7.733333,REM
7.741667,REM
7.75,N1
7.758333,N1
7.766667,N1
7.775,N1
7.783333,N2
7.791667,N2
7.8,N2
7.808333,N2
7.816667,N2
7.825,N2
7.833333,N2
7.841667,N2
7.85,N2
7.858333,N2
7.866667,N2
7.875,N2
7.883333,N2
7.891667,N2
7.9,N2
7.908333,N2
7.916667,N2
7.925,N2
7.933333,N2
7.941667,N2
7.95,N2
7.958333,N2
7.966667,N2
7.975,N2
7.983333,N2
7.991667,N2
