segment_index,time_hours,start_time_hours,end_time_hours,stage,dominant_emotion,bizarreness_score,lucidity_probability,generation_mode,llm_trigger_type,llm_latency_ms,template_bank,ach,serotonin,ne,cortisol,narrative,scene_description,active_memory_ids
fa465fc2-2fde-4382-b8ec-5900da5c0fcc,0.083333,0.083333,0.091667,N2,melancholic,0.45,,TEMPLATE,,,n2_melancholic_01,0.4663,0.282,0.2661,0.3446,"I revisit quiet environments tied to old routines, where conversations are incomplete and people fade before we reconnect; the tone is reflective and heavy, with gentle sadness layered over everyday details that feel just out of reach but emotionally significant.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
de609e5c-20be-42e3-940f-6c352f3b23de,0.091667,0.091667,0.1,N2,anxious,0.45,,TEMPLATE,,,n2_anxious_01,0.4608,0.2876,0.2861,0.2948,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that pulls me onward. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
05611e4f-0b79-4cc3-a580-090c469c3028,0.1,0.1,0.108333,N2,anxious,0.45,,TEMPLATE,,,n2_any_01,0.4817,0.2651,0.2924,0.3255,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
352873a9-07d3-4c02-9f14-fa1ca037ebca,0.108333,0.108333,0.116667,N2,melancholic,0.45,,TEMPLATE,,,n2_melancholic_01,0.4475,0.2713,0.2951,0.321,"I revisit quiet environments tied to old routines, where conversations are incomplete and people fade before we reconnect; the tone is reflective and heavy, with gentle sadness layered over everyday details that feel just out of reach but emotionally significant.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
d8675bd5-bb74-40ab-9e02-5aa9a869def5,0.116667,0.116667,0.125,N2,neutral,0.45,,TEMPLATE,,,n2_neutral_01,0.4439,0.267,0.2997,0.3312,"I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and each transition feels smooth enough to maintain continuity without becoming fully vivid. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
355cfae7-71b6-4ec2-a9ea-1e9fd629041d,0.125,0.125,0.133333,N2,anxious,0.45,,TEMPLATE,,,n2_anxious_01,0.4564,0.2743,0.3042,0.3477,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that pulls me onward. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
44d7d407-e4fb-419f-8e3d-e866cc6e03e9,0.133333,0.133333,0.141667,N2,anxious,0.45,,TEMPLATE,,,n2_any_01,0.428,0.2668,0.2858,0.3546,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
8c9dd639-0146-40de-9f2d-44995bae922d,0.141667,0.141667,0.15,N2,joyful,0.45,,TEMPLATE,,,n2_joyful_01,0.4381,0.2672,0.2419,0.3415,"The dream offers bright, coherent moments across streets, rooms, and gatherings where each interaction feels welcoming and lightly magical; colors are richer than waking life, and even ordinary gestures carry quiet delight that accumulates into a sustained positive mood. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A joyful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
50988b61-7ae1-4a16-b0aa-56d93e3ec5c8,0.15,0.15,0.158333,N2,anxious,0.45,,TEMPLATE,,,n2_anxious_01,0.4585,0.2751,0.2891,0.3312,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that pulls me onward. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
02870e07-a50b-494c-8a94-cda13de9da51,0.158333,0.158333,0.166667,N2,neutral,0.45,,TEMPLATE,,,n2_any_01,0.4345,0.2874,0.2747,0.2909,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
c1892653-b790-4607-bba9-ef907b2bf829,0.166667,0.166667,0.175,N2,serene,0.45,,TEMPLATE,,,n2_serene_01,0.466,0.2592,0.2823,0.3579,"A calm narrative unfolds through still air, soft light, and unhurried movement, with scenes transitioning like slow breaths; nothing demands urgency, and the dream's continuity feels dependable, allowing me to drift through familiar spaces without cognitive strain. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A serene dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
50342b35-f021-402c-aca6-11770478a427,0.175,0.175,0.183333,N2,anxious,0.45,,TEMPLATE,,,n2_any_01,0.4645,0.2554,0.2895,0.3567,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
5c5eaa30-6415-4f1b-882b-1b348e040215,0.183333,0.183333,0.191667,N2,anxious,0.45,,TEMPLATE,,,n2_anxious_01,0.4308,0.2772,0.3012,0.3532,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that pulls me onward. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
3ca1cca4-d50c-43d1-8083-cb160a572ebb,0.191667,0.191667,0.2,N2,anxious,0.45,,TEMPLATE,,,n2_any_01,0.4327,0.2765,0.2844,0.331,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
d2a4af18-d310-4715-85f2-abd95a94cf8f,0.2,0.2,0.208333,N2,serene,0.45,,TEMPLATE,,,n2_serene_01,0.4175,0.2854,0.283,0.3387,"A calm narrative unfolds through still air, soft light, and unhurried movement, with scenes transitioning like slow breaths; nothing demands urgency, and the dream's continuity feels dependable, allowing me to drift through familiar spaces without cognitive strain. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A serene dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
1fbe57d6-b0b8-4618-a9ec-faf994187636,0.208333,0.208333,0.216667,N2,neutral,0.45,,TEMPLATE,,,n2_neutral_01,0.4229,0.2976,0.2519,0.3237,"I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and each transition feels smooth enough to maintain continuity without becoming fully vivid. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
5da3a3c5-bdef-4bc9-8e11-1a5e89992dbe,0.216667,0.216667,0.225,N2,fearful,0.45,,TEMPLATE,,,n2_fearful_01,0.4528,0.3019,0.2946,0.3042,"A low-threat dread pervades familiar places, with open doors, delayed footsteps, and messages that arrive too late; the dream never erupts, yet each scene carries a sharpened edge, making routine actions feel dangerous even when nothing explicitly attacks me. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
6d175363-2e8b-4960-afaa-d9453cc6b5ce,0.225,0.225,0.233333,N2,curious,0.45,,TEMPLATE,,,n2_any_01,0.4346,0.3134,0.2998,0.3347,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A curious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
2abf98af-c170-4a71-8c18-19c9eb556de8,0.233333,0.233333,0.241667,N2,anxious,0.437,,TEMPLATE,,,n2_anxious_01,0.4406,0.2913,0.298,0.3115,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that pulls me onward. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7850ce14-a1c3-434d-8f9e-c8a5a1aa7a83,0.241667,0.241667,0.25,N2,melancholic,0.45,,TEMPLATE,,,n2_any_01,0.4727,0.2791,0.2778,0.3304,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
d8564ff5-1207-4c2f-9917-32ba35d30e34,0.25,0.25,0.258333,N2,fearful,0.45,,TEMPLATE,,,n2_fearful_01,0.4466,0.2695,0.2682,0.3175,"A low-threat dread pervades familiar places, with open doors, delayed footsteps, and messages that arrive too late; the dream never erupts, yet each scene carries a sharpened edge, making routine actions feel dangerous even when nothing explicitly attacks me. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
a7629201-3bd2-441f-a17c-d07c22032735,0.258333,0.258333,0.266667,N2,curious,0.45,,TEMPLATE,,,n2_curious_01,0.4371,0.2493,0.2273,0.3203,"Each location presents a puzzle disguised as routine detail, such as symbols on train maps, altered room layouts, or renamed objects; I follow these anomalies from scene to scene, noticing how the dream preserves structure while quietly reshaping the rules underneath.",A curious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
19760a9c-46c7-43b9-8e19-eeb818657ead,0.266667,0.266667,0.275,N2,joyful,0.45,,TEMPLATE,,,n2_any_01,0.4073,0.2969,0.2829,0.3164,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A joyful dreamscape at N2 depth.,mem::familiar_face|mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased
bba67370-3122-480f-9b7f-b413ddd51dc5,0.275,0.275,0.283333,N2,joyful,0.45,,TEMPLATE,,,n2_joyful_01,0.4248,0.2795,0.3094,0.3205,"The dream offers bright, coherent moments across streets, rooms, and gatherings where each interaction feels welcoming and lightly magical; colors are richer than waking life, and even ordinary gestures carry quiet delight that accumulates into a sustained positive mood. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A joyful dreamscape at N2 depth.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
942afde4-9b05-4207-b4e0-dc75e1753d76,0.283333,0.283333,0.291667,N2,fearful,0.45,,TEMPLATE,,,n2_any_01,0.4514,0.2886,0.2339,0.3163,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
6aa09806-dc85-4b5a-930e-71a4ddec4a03,0.291667,0.291667,0.3,N2,melancholic,0.45,,TEMPLATE,,,n2_melancholic_01,0.467,0.3028,0.2413,0.3076,"I revisit quiet environments tied to old routines, where conversations are incomplete and people fade before we reconnect; the tone is reflective and heavy, with gentle sadness layered over everyday details that feel just out of reach but emotionally significant.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
287e6174-38fb-4f66-8bd5-86c9ef74f8a1,0.3,0.3,0.308333,N2,neutral,0.45,,TEMPLATE,,,n2_any_01,0.4091,0.2688,0.3105,0.2953,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
b4b63cae-45d2-4523-809f-02b24238080b,0.308333,0.308333,0.316667,N2,neutral,0.45,,TEMPLATE,,,n2_neutral_01,0.444,0.288,0.2892,0.3357,"I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and each transition feels smooth enough to maintain continuity without becoming fully vivid. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
201c0289-30ce-4509-a332-16e10c90aa62,0.316667,0.316667,0.325,N2,anxious,0.45,,TEMPLATE,,,n2_any_01,0.4415,0.2631,0.2872,0.3108,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e6814c35-6f64-4d2e-bb03-1d1f7a6a657a,0.325,0.325,0.333333,N2,fearful,0.45,,TEMPLATE,,,n2_fearful_01,0.4513,0.3075,0.2819,0.3201,"A low-threat dread pervades familiar places, with open doors, delayed footsteps, and messages that arrive too late; the dream never erupts, yet each scene carries a sharpened edge, making routine actions feel dangerous even when nothing explicitly attacks me. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
3cb4b048-b8a8-4b0f-ae29-ecf230998e43,0.333333,0.333333,0.341667,N2,anxious,0.45,,TEMPLATE,,,n2_anxious_01,0.454,0.2601,0.2707,0.3042,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that pulls me onward. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
cefffe35-b113-433b-85b1-65307b8d17e8,0.341667,0.341667,0.35,N2,curious,0.45,,TEMPLATE,,,n2_any_01,0.4553,0.2799,0.2971,0.3315,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A curious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f74130e0-2ae5-47d8-a701-e3d885639942,0.35,0.35,0.358333,N3,joyful,0.3,,LLM_FALLBACK,,1620.0,TEMPLATE_N3,0.3014,0.2245,0.1826,0.3082,"In this N3 interval, a joyful dream image unfolds around shifting memory fragments and sensory distortions. At 0.350h, the scene",N3 segment with joyful imagery.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
e481faa5-2261-46f7-a14c-a441f734b756,0.358333,0.358333,0.366667,N3,anxious,0.3,,LLM_FALLBACK,,1624.0,TEMPLATE_N3,0.2912,0.2659,0.2113,0.3405,"In this N3 interval, a anxious dream image unfolds around shifting memory fragments and sensory distortions. At 0.358h, the scene",N3 segment with anxious imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
a218fd90-1ca3-4de8-8c69-0799c643afbb,0.366667,0.366667,0.375,N3,joyful,0.3,,LLM_FALLBACK,,1635.0,TEMPLATE_N3,0.2695,0.2063,0.1937,0.3638,"In this N3 interval, a joyful dream image unfolds around shifting memory fragments and sensory distortions. At 0.367h, the scene",N3 segment with joyful imagery.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
9d94f6aa-2f16-4759-9ea6-2856451cf764,0.375,0.375,0.383333,N3,joyful,0.3,,LLM_FALLBACK,,1519.0,TEMPLATE_N3,0.304,0.2114,0.2184,0.3189,"In this N3 interval, a joyful dream image unfolds around shifting memory fragments and sensory distortions. At 0.375h, the scene",N3 segment with joyful imagery.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
5026a7cb-6229-4b04-8ea0-de8c1d19431d,0.383333,0.383333,0.391667,N3,serene,0.3,,LLM_FALLBACK,,1531.0,TEMPLATE_N3,0.2853,0.2131,0.2088,0.2954,"In this N3 interval, a serene dream image unfolds around shifting memory fragments and sensory distortions. At 0.383h, the scene",N3 segment with serene imagery.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
92ff9ee5-f748-4e59-965c-d8bbe9bbd32b,0.391667,0.391667,0.4,N3,anxious,0.3,,LLM_FALLBACK,,1548.0,TEMPLATE_N3,0.334,0.2008,0.2011,0.3023,"In this N3 interval, a anxious dream image unfolds around shifting memory fragments and sensory distortions. At 0.392h, the scene",N3 segment with anxious imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
ab222a03-72a3-4793-8d47-7a67d336b862,0.4,0.4,0.408333,N3,anxious,0.3,,LLM_FALLBACK,,1547.0,TEMPLATE_N3,0.3049,0.2091,0.1732,0.3519,"In this N3 interval, a anxious dream image unfolds around shifting memory fragments and sensory distortions. At 0.400h, the scene",N3 segment with anxious imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f10fe780-874e-4d77-96f5-84343fb3beca,0.408333,0.408333,0.416667,N3,neutral,0.3,,LLM_FALLBACK,,1535.0,TEMPLATE_N3,0.2998,0.1911,0.1754,0.2752,"In this N3 interval, a neutral dream image unfolds around shifting memory fragments and sensory distortions. At 0.408h, the scene",N3 segment with neutral imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
1b347da8-04f9-4075-9f78-1ef079121774,0.416667,0.416667,0.425,N3,anxious,0.3,,LLM_FALLBACK,,1585.0,TEMPLATE_N3,0.2929,0.2064,0.2195,0.2921,"In this N3 interval, a anxious dream image unfolds around shifting memory fragments and sensory distortions. At 0.417h, the scene",N3 segment with anxious imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f2fe58e8-027d-4874-971d-bf191e0ce22c,0.425,0.425,0.433333,N3,neutral,0.3,,LLM_FALLBACK,,1610.0,TEMPLATE_N3,0.294,0.219,0.1717,0.2863,"In this N3 interval, a neutral dream image unfolds around shifting memory fragments and sensory distortions. At 0.425h, the scene",N3 segment with neutral imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e4d64752-f5e9-4812-a835-2d8199dc3ca9,0.433333,0.433333,0.441667,N3,serene,0.3,,LLM_FALLBACK,,1617.0,TEMPLATE_N3,0.2907,0.2267,0.1559,0.3389,"In this N3 interval, a serene dream image unfolds around shifting memory fragments and sensory distortions. At 0.433h, the scene",N3 segment with serene imagery.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
488cb19a-ab2f-4787-b493-32130f9d39cc,0.441667,0.441667,0.45,N3,fearful,0.3,,LLM_FALLBACK,,1614.0,TEMPLATE_N3,0.3316,0.1926,0.2018,0.3271,"In this N3 interval, a fearful dream image unfolds around shifting memory fragments and sensory distortions. At 0.442h, the scene",N3 segment with fearful imagery.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
