segment_index,time_hours,start_time_hours,end_time_hours,stage,dominant_emotion,bizarreness_score,lucidity_probability,generation_mode,llm_trigger_type,llm_latency_ms,llm_fallback_reason,template_bank,ach,serotonin,ne,cortisol,narrative,scene_description,active_memory_ids
313a2491-36ce-4728-bdb5-36a65fdfea7c,0.0,0.0,0.008333,N1,fearful,0.363,0.0,TEMPLATE,,,,n1_fearful_01,0.479,0.2969,0.3097,0.3655,"The boundary of wakefulness fractures into abrupt flashes of threat: a voice near my ear,.",A fearful dreamscape at N1 depth.,
01c89d21-2d9e-4df8-b2c0-bdaceeddad0a,0.091667,0.091667,0.1,N2,joyful,0.505,0.0,TEMPLATE,,,,n2_any_01,0.453,0.2485,0.2717,0.3518,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A joyful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
c11dc502-ae0e-4524-8857-79f6d19592af,0.1,0.1,0.108333,N2,anxious,0.413,0.0,TEMPLATE,,,,n2_anxious_01,0.4158,0.2446,0.2767,0.3362,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
a12a5812-2b76-4bc0-888f-346a61b1ac73,0.108333,0.108333,0.116667,N2,anxious,0.476,0.0,TEMPLATE,,,,n2_any_01,0.4385,0.3072,0.2711,0.3269,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
808cfadc-c77c-44bd-b9bb-6bd521a06743,0.116667,0.116667,0.125,N2,anxious,0.494,0.0,TEMPLATE,,,,n2_anxious_01,0.4679,0.3093,0.2539,0.3606,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
896d3446-da63-4707-bba7-e19716a1d282,0.125,0.125,0.133333,N2,anxious,0.413,0.0,TEMPLATE,,,,n2_any_01,0.4525,0.2528,0.3205,0.3514,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7804d91a-933e-46b6-a2e2-5a1ba78392e7,0.133333,0.133333,0.141667,N2,serene,0.487,0.0,TEMPLATE,,,,n2_serene_01,0.4548,0.2929,0.2708,0.3475,"A calm narrative unfolds through still air, soft light, and unhurried movement, with scenes transitioning like slow breaths; nothing demands urgency, and the dream's continuity feels dependable, allowing me to drift through familiar spaces without.",A serene dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
3242d419-13bd-4ab4-825b-4d2b66517af7,0.141667,0.141667,0.15,N2,fearful,0.493,0.0,TEMPLATE,,,,n2_any_01,0.4687,0.2477,0.2786,0.3308,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f5c8903e-6c08-465c-ae37-0caa92f7d60e,0.15,0.15,0.158333,N2,neutral,0.448,0.0,TEMPLATE,,,,n2_neutral_01,0.4355,0.2313,0.2716,0.3127,"I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and each transition feels smooth enough to maintain continuity.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
a72d2d57-56a1-4c02-93a2-752ae5ef6469,0.158333,0.158333,0.166667,N2,fearful,0.454,0.0,TEMPLATE,,,,n2_fearful_01,0.4488,0.2981,0.3038,0.3505,"A low-threat dread pervades familiar places, with open doors, delayed footsteps, and messages that arrive too late; the dream never erupts, yet each scene carries a sharpened edge, making routine actions feel dangerous even when.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e9d34b93-9a23-4eb4-9759-38d6b9ab0772,0.166667,0.166667,0.175,N2,joyful,0.439,0.0,TEMPLATE,,,,n2_joyful_01,0.4361,0.3048,0.2867,0.3536,"The dream offers bright, coherent moments across streets, rooms, and gatherings where each interaction feels welcoming and lightly magical; colors are richer than waking life, and even ordinary gestures carry quiet delight that accumulates into.",A joyful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
8cd8ecbe-7af1-4578-9c83-328e5e750aff,0.175,0.175,0.183333,N2,melancholic,0.448,0.0,TEMPLATE,,,,n2_melancholic_01,0.4496,0.2779,0.2967,0.3455,"I revisit quiet environments tied to old routines, where conversations are incomplete and people fade before we reconnect; the tone is reflective and heavy, with gentle sadness layered over everyday details that feel just out.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
3846a5f1-836d-4fff-9813-9c3d8d0ce745,0.183333,0.183333,0.191667,N2,anxious,0.412,0.0,TEMPLATE,,,,n2_anxious_01,0.4661,0.2744,0.3137,0.3486,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
8b7d4224-91f1-4c09-ae00-88eae994f726,0.191667,0.191667,0.2,N2,fearful,0.437,0.0,TEMPLATE,,,,n2_any_01,0.4663,0.3002,0.2921,0.3395,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e52565c4-94e2-48c7-a24b-186e23a7d87c,0.2,0.2,0.208333,N2,serene,0.397,0.0,TEMPLATE,,,,n2_serene_01,0.4494,0.292,0.3095,0.3204,"A calm narrative unfolds through still air, soft light, and unhurried movement, with scenes transitioning like slow breaths; nothing demands urgency, and the dream's continuity feels dependable, allowing me to drift through familiar spaces without.",A serene dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7388e078-04df-453d-baf2-994fbf762d3c,0.208333,0.208333,0.216667,N2,melancholic,0.445,0.0,TEMPLATE,,,,n2_any_01,0.4343,0.3121,0.2541,0.3594,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
b3a2c38b-8342-4098-9f57-35be06366055,0.216667,0.216667,0.225,N2,anxious,0.504,0.0,TEMPLATE,,,,n2_anxious_01,0.501,0.2952,0.285,0.3478,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
6c71392d-87bb-41df-936e-c205e2c5393a,0.225,0.225,0.233333,N2,anxious,0.435,0.0,TEMPLATE,,,,n2_any_01,0.4105,0.2883,0.3102,0.3439,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
78dd11a1-1eed-41d5-825f-b080c0b43809,0.233333,0.233333,0.241667,N2,anxious,0.45,0.0,TEMPLATE,,,,n2_anxious_01,0.4185,0.2791,0.2664,0.3496,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
cd3efdd6-790c-4fd8-8780-35cc54a37286,0.241667,0.241667,0.25,N2,curious,0.435,0.0,TEMPLATE,,,,n2_any_01,0.4385,0.2508,0.2674,0.3377,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A curious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
775a454b-4a18-48fa-8205-cdb78b4318b7,0.25,0.25,0.258333,N2,fearful,0.429,0.0,TEMPLATE,,,,n2_fearful_01,0.4357,0.2459,0.2777,0.3511,"A low-threat dread pervades familiar places, with open doors, delayed footsteps, and messages that arrive too late; the dream never erupts, yet each scene carries a sharpened edge, making routine actions feel dangerous even when.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
8b8eaa0a-ba08-46db-bfce-59c776beb1d1,0.258333,0.258333,0.266667,N2,neutral,0.49,0.0,TEMPLATE,,,,n2_any_01,0.4261,0.2581,0.2723,0.3168,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
272ed1d0-4a17-49d2-8c8d-6b78c368635c,0.266667,0.266667,0.275,N2,anxious,0.437,0.0,TEMPLATE,,,,n2_anxious_01,0.4344,0.3066,0.3023,0.3242,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
bb8726fe-0b33-47f6-acd5-1f8d7e95be4d,0.275,0.275,0.283333,N2,melancholic,0.444,0.0,TEMPLATE,,,,n2_melancholic_01,0.444,0.2572,0.2762,0.3196,"I revisit quiet environments tied to old routines, where conversations are incomplete and people fade before we reconnect; the tone is reflective and heavy, with gentle sadness layered over everyday details that feel just out.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
8ab25e43-5a0c-495f-825b-e1ef0dcde051,0.283333,0.283333,0.291667,N2,anxious,0.432,0.0,TEMPLATE,,,,n2_any_01,0.4413,0.2888,0.2723,0.3512,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
9176d1d8-0d34-4e68-9ac7-55ff5115555c,0.291667,0.291667,0.3,N2,anxious,0.442,0.0,TEMPLATE,,,,n2_anxious_01,0.474,0.2649,0.2676,0.3105,"The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small inconsistencies, but every answer introduces another mismatch that.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
49288a13-4218-45d9-bbfa-bccb945d4dbe,0.3,0.3,0.308333,N2,joyful,0.42,0.0,TEMPLATE,,,,n2_any_01,0.4346,0.3104,0.274,0.3434,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A joyful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
56ddbccc-fc01-4267-8a19-6fc998dbb491,0.308333,0.308333,0.316667,N2,joyful,0.487,0.0,TEMPLATE,,,,n2_joyful_01,0.4508,0.2836,0.2613,0.3544,"The dream offers bright, coherent moments across streets, rooms, and gatherings where each interaction feels welcoming and lightly magical; colors are richer than waking life, and even ordinary gestures carry quiet delight that accumulates into.",A joyful dreamscape at N2 depth.,mem::bright_light|mem::joy|mem::flying|mem::childhood_home|mem::school_corridor
4361231d-c626-4e82-a122-22309d77ab2f,0.316667,0.316667,0.325,N2,curious,0.383,0.0,TEMPLATE,,,,n2_curious_01,0.4309,0.2905,0.2806,0.3456,"Each location presents a puzzle disguised as routine detail, such as symbols on train maps, altered room layouts, or renamed objects; I follow these anomalies from scene to scene, noticing how the dream preserves structure.",A curious dreamscape at N2 depth.,mem::bright_light|mem::joy|mem::flying|mem::childhood_home|mem::school_corridor
ebc8c567-e27e-451c-93fd-f56f033d3d0e,0.325,0.325,0.333333,N2,fearful,0.442,0.0,TEMPLATE,,,,n2_any_01,0.479,0.3032,0.2716,0.3169,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A fearful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
a86968b5-1b8a-42a5-9df0-9eb4ce872da8,0.333333,0.333333,0.341667,N2,neutral,0.476,0.0,TEMPLATE,,,,n2_neutral_01,0.4745,0.2689,0.2732,0.3222,"I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and each transition feels smooth enough to maintain continuity.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e45265a1-c866-43df-a442-b4e439e80e00,0.341667,0.341667,0.35,N2,melancholic,0.459,0.0,TEMPLATE,,,,n2_any_01,0.4363,0.3022,0.2776,0.3203,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
8e04f968-8e20-4245-a3a8-aff5e623b5fd,0.35,0.35,0.358333,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_any_01,0.3048,0.1486,0.214,0.3338,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
2a36a30e-5a97-4e44-8353-58ee3a78b20d,0.358333,0.358333,0.366667,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_anxious_01,0.3131,0.219,0.1858,0.3042,"An undercurrent of unease runs through thick, low-resolution imagery where details are hard to hold; I sense that something is.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f0c8ecd7-d003-492a-98c2-01f01219ccd8,0.366667,0.366667,0.375,N3,anxious,0.343,0.0,TEMPLATE,,,,n3_any_01,0.3339,0.2091,0.1878,0.3115,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
0efa5942-b212-4680-870e-1b1b49ad711b,0.375,0.375,0.383333,N3,fearful,0.35,0.0,TEMPLATE,,,,n3_fearful_01,0.3019,0.2133,0.1836,0.3305,"Fear appears as abrupt sensory jolts inside otherwise blank darkness: a sudden drop, a distant call, a room that feels.",A fearful dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e6ffedfb-19a9-46b6-be82-05c1920d9554,0.383333,0.383333,0.391667,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_anxious_01,0.3093,0.1845,0.2079,0.3263,"An undercurrent of unease runs through thick, low-resolution imagery where details are hard to hold; I sense that something is.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
23589489-8e43-43a7-ac56-660a5b9f5521,0.391667,0.391667,0.4,N3,curious,0.35,0.0,TEMPLATE,,,,n3_any_01,0.3204,0.213,0.2086,0.3415,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
194b7537-d213-44ec-a21c-def89479ea7d,0.4,0.4,0.408333,N3,neutral,0.35,0.0,TEMPLATE,,,,n3_neutral_01,0.3072,0.2206,0.1901,0.3268,"Experience compresses into sparse sensations and broad, dark spaces where time is difficult to track; events feel discontinuous and heavy,.",A neutral dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
9ff718c7-c615-4b4e-8384-834a92f32ac1,0.408333,0.408333,0.416667,N3,curious,0.35,0.0,TEMPLATE,,,,n3_curious_01,0.3039,0.202,0.185,0.3205,"Even in deep sleep, occasional odd structures appear briefly: geometric rooms, distant machinery, and symbolic objects that vanish before inspection;.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
708b7831-a774-4974-82ff-9fac4107ec50,0.416667,0.416667,0.425,N3,neutral,0.35,0.0,TEMPLATE,,,,n3_any_01,0.3073,0.1961,0.1988,0.3345,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A neutral dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7dc70f75-b0e0-4d4e-8168-d9383be47684,0.425,0.425,0.433333,N3,melancholic,0.35,0.0,TEMPLATE,,,,n3_melancholic_01,0.2797,0.1794,0.2125,0.2838,"The dream stays dim and minimal, presenting isolated impressions of empty places and unfinished farewells; sadness is diffuse rather than.",A melancholic dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
1e94afad-8f39-46b2-b326-0273b9fb475f,0.433333,0.433333,0.441667,N3,curious,0.35,0.0,TEMPLATE,,,,n3_any_01,0.2987,0.2338,0.2446,0.3278,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
fb2d8df2-9a53-4628-a629-f43048824e90,0.441667,0.441667,0.45,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_anxious_01,0.3458,0.1672,0.2262,0.3188,"An undercurrent of unease runs through thick, low-resolution imagery where details are hard to hold; I sense that something is.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7780ed38-d5c6-4a13-964d-8bb927a59a86,0.45,0.45,0.458333,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_any_01,0.3351,0.1824,0.2317,0.2801,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f3f4ca64-c48d-4a40-9a81-e623e538b5ad,0.458333,0.458333,0.466667,N3,anxious,0.319,0.0,TEMPLATE,,,,n3_anxious_01,0.2882,0.2128,0.2112,0.3308,"An undercurrent of unease runs through thick, low-resolution imagery where details are hard to hold; I sense that something is.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e2785b57-a517-4a23-852a-38803544c4af,0.466667,0.466667,0.475,N3,joyful,0.35,0.0,TEMPLATE,,,,n3_any_01,0.3224,0.1852,0.1987,0.305,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A joyful dreamscape at N3 depth.,mem::flying|mem::bright_light|mem::joy|mem::childhood_home|mem::school_corridor
263d0d2e-9c3e-4743-ab9f-d805b9f92019,0.475,0.475,0.483333,N3,curious,0.35,0.0,TEMPLATE,,,,n3_curious_01,0.2945,0.1917,0.1867,0.331,"Even in deep sleep, occasional odd structures appear briefly: geometric rooms, distant machinery, and symbolic objects that vanish before inspection;.",A curious dreamscape at N3 depth.,mem::flying|mem::bright_light|mem::joy|mem::childhood_home|mem::school_corridor
9bd5dbca-5bc5-4a44-9f3c-c7cc76dc808d,0.483333,0.483333,0.491667,N3,curious,0.35,0.0,TEMPLATE,,,,n3_any_01,0.2857,0.2017,0.1734,0.3211,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A curious dreamscape at N3 depth.,mem::flying|mem::bright_light|mem::joy|mem::childhood_home|mem::school_corridor
c75813ee-094b-4ef4-b1e8-28a124fd41c9,0.491667,0.491667,0.5,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_anxious_01,0.2939,0.2095,0.2193,0.3021,"An undercurrent of unease runs through thick, low-resolution imagery where details are hard to hold; I sense that something is.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
ce88d88c-b07f-44c8-b9ae-19082e393d0d,0.5,0.5,0.508333,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_any_01,0.267,0.1854,0.1987,0.3241,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
4ff6bf74-8f38-4ddd-af0d-bedf7d2da476,0.508333,0.508333,0.516667,N3,serene,0.35,0.0,TEMPLATE,,,,n3_serene_01,0.2882,0.2164,0.1859,0.3343,"I settle into broad quiet where sensation and thought are both muted, and the dream drifts through simple textures of.",A serene dreamscape at N3 depth.,mem::familiar_face|mem::flying|mem::bright_light|mem::joy|mem::wonder
36704af5-509e-4430-b825-7ced9653600b,0.516667,0.516667,0.525,N3,melancholic,0.35,0.0,TEMPLATE,,,,n3_any_01,0.2934,0.2055,0.1923,0.3387,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A melancholic dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
659797a1-45c1-41e2-b536-f50bf916d588,0.525,0.525,0.533333,N3,anxious,0.35,0.0,TEMPLATE,,,,n3_anxious_01,0.3072,0.2071,0.2252,0.2953,"An undercurrent of unease runs through thick, low-resolution imagery where details are hard to hold; I sense that something is.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
6c659d3e-320b-4067-b3d7-4e947aa51ac1,0.533333,0.533333,0.541667,N3,fearful,0.35,0.0,TEMPLATE,,,,n3_any_01,0.2448,0.2185,0.2141,0.3436,"The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity; scenes are short, partially formed, and often.",A fearful dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
